intensity_filename,mask_filename,label,FractalFeatures()[0],FractalFeatures()[1],FractalFeatures()[2],FractalFeatures()[3],FractalFeatures()[4],FractalFeatures()[5],FractalFeatures()[6],FractalFeatures()[7],FractalFeatures()[8],FractalFeatures()[9],FractalFeatures()[10],FractalFeatures()[11],FractalFeatures()[12],FractalFeatures()[13],FractalFeatures()[14],FractalFeatures()[15],FractalFeatures()[16],FractalFeatures()[17],FractalFeatures()[18],FractalFeatures()[19]
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,12,1238.98,2146.5004,2684.7605,2991.2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,13,1612.3364,2679.622,3370.1402,3713.9035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,14,1663.069,2758.1395,3334.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,15,1549.3604,2593.6194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,16,1450.2762,2559.9812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,17,1456.2494,2500.4207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,18,1498.1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,19,2693.8827,4336.1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,21,1625.0217,2688.7178,3234.0873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,22,1413.3409,2219.4462,2767.6011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,23,1679.9169,2879.3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,24,1379.0994,2340.1749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,26,2589.1592,4791.9908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,27,1550.6913,2569.0258,3235.2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,28,1684.9724,3014.8804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,29,893.51276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,30,1459.6707,2423.1471,2933.8472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,31,1398.6158,2314.5143,2812.9194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,32,1867.6333,3176.2978,3971.6939,4359.2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,33,1534.8177,2605.4915,3379.8838,3910.3799,4205.9525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,34,1503.4079,2528.9721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,35,991.47126,1621.404,1919.6291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,36,1746.4728,3125.9952,3973.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,37,1395.3896,2321.5826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,38,1238.6678,2128.6599,2784.2834,3200.6289,3451.1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,39,1984.25,3384.9675,4223.0797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,40,2196.2404,3752.9911,4640.8921,4798.1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,41,1272.6195,2055.2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,42,740.04272,1224.4116,1480.1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,43,663.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,44,904.07639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
