,perimeter,convex_perimeter,area_projection,area_filled,area_convex,major_axis_length,minor_axis_length,diameter_max_inclosing_circle,diameter_min_enclosing_circle,diameter_circumscribing_circle,diameter_inscribing_circle,diameter_equal_area,diameter_equal_perimeter,x_max,y_max,width_min_bb,length_min_bb,geodeticlength,thickness,n_erosions,n_erosions_complement,fractal_dimension_boxcounting_method,fractal_dimension_perimeter_method,feret_max,feret_min,feret_median,feret_mean,feret_mode,feret_std,martin_max,martin_min,martin_median,martin_mean,martin_mode,martin_std,nassenstein_max,nassenstein_min,nassenstein_median,nassenstein_mean,nassenstein_mode,nassenstein_std,maxchords_max,maxchords_min,maxchords_median,maxchords_mean,maxchords_mode,maxchords_std,allchords_max,allchords_min,allchords_median,allchords_mean,allchords_mode,allchords_std
0,37.3137085,37.3137085,103,103,109,13.88787929,9.699803241,10,13.60167122,499.6243909,474.9167612,11.45179781,11.87732231,15,11,10,13,9.328427125,9.328427125,6,2,1.79248125,1.085272513,15,10,13,12.45,13,1.499166435,14,9,11,11.3,10,1.55241747,15,9,11.5,11.7,11,1.763519209,15,10,12,12.1,11,1.577973384,15,1,9,7.965517241,9,3.570145288
0,65.59797975,65.59797975,326,326,340,21.2750291,19.54828904,18.86796188,21.30460358,401.7035612,359.817246,20.3734163,20.88048547,22,21,19.38477516,20.79898834,16.39949494,16.39949494,12,2,1.732874504,1.045848497,22,20,21,21.15,22,0.792148976,22,19,21,20.65,20,1.013656747,22,19,20.5,20.35,21,0.963068014,22,20,21,20.9,21,0.768114575,22,1,17,14.65617978,20,6.135986227
0,73.9411255,73.9411255,403,403,417,25.23244542,20.49863878,19.79899025,25.84697151,464.449193,421.2458077,22.65205369,23.53619124,27,21,24,22,18.48528137,18.48528137,12,2,1.811125425,1.066734976,27,21,23.5,23.75,22,1.920286437,26,20,23,22.85,21,1.878163997,27,21,22.5,22.85,21,1.681517172,27,21,23,23.3,22,1.734935157,27,1,19,16.28686869,20,6.756256307
0,59.35533906,59.35533906,255,255,264,23.27807819,13.97613455,14.14213562,22.20380402,358.3234787,316.9387113,18.01877032,18.89339122,23,15,22.92030907,13.72792053,14.83883476,14.83883476,10,2,1.702792327,1.093606372,23,14,19.5,19.3,23,3.1,23,13,17,17.6,14,3.277193922,23,12,15.5,16.8,13,3.6138622,23,14,17,18.25,15,3.34477204,23,1,13,12.46829268,14,5.618802885
0,58.38477631,58.38477631,214,214,231,18.67764494,15.6749834,14,20.50654602,502.2693504,472.5120335,16.50676415,18.5844515,20,19,20,15,14.59619408,14.59619408,9,2,1.796578428,1.09063322,21,15,19,18.95,19,1.657558445,20,14,16,16.6,16,1.655294536,20,2,16.5,15.6,16,4.498888752,20,15,18,17.95,20,1.716828471,20,1,12,10.82070707,14,5.581867786
0,53.79898987,53.79898987,189,189,202,21.5810864,11.3211292,10.77032948,20.39627838,436.1044587,411.1759989,15.51264884,17.12475034,21,12,21.34169769,11.66698647,13.44974747,13.44974747,7,2,1.696282824,1.107912675,22,12,18,17.55,21,3.26305072,21,10,14,15.1,11,3.659234893,22,9,12,13.8,11,4.081666326,21,11,15.5,15.8,13,3.370459909,21,1,10.5,10.26902174,10,4.985949511
0,55.45584412,55.45584412,237,237,246,19.92018156,15.18534334,15.2315464,19.26220894,150.6800066,118.1427667,17.37117647,17.65214343,20,15,20,15,13.86396103,13.86396103,9,2,1.645943162,1.015104456,20,15,18,18.05,20,1.59608897,20,15,17.5,17.35,15,1.739971264,20,14,17,17,15,2.049390153,20,15,18,17.6,18,1.655294536,20,1,14,12.53298153,15,5.121824
0,24.48528137,24.48528137,54,54,56,8.852563334,7.731947624,8,8.602525711,179.161781,164.7507075,8.291859587,7.793907127,10,8,8,8,6.121320344,6.121320344,5,2,1.160964047,0.74670603,10,8,9,8.8,9,0.678232998,10,7,8,8.3,9,0.842614977,9,7,8,8.3,8,0.640312424,10,8,9,8.7,9,0.556776436,10,1,7,5.934065934,8,2.484245736
0,55.21320344,55.21320344,189,189,202,23.63028317,10.33534296,10,22.22672844,401.1899024,357.6016883,15.51264884,17.5749085,24,11,10.65186024,23.18932915,15.04068302,12.5659187,6,2,1.709473751,1.088183684,24,11,18.5,18.1,23,4.323193264,23,9,13.5,14.85,10,4.777813307,24,8,10.5,13,10,5.186520992,24,10,14.5,15.6,13,4.431703961,24,1,10,9.848563969,10,5.043729584
0,24.65685425,25.07106781,43,43,47,10.6466434,5.400857856,6,9.62101078,515.4548208,505.257289,7.39927702,7.84852047,11,6,10,6,6.164213562,6.164213562,4,2,1.79248125,1.042884229,10,6,9.5,8.65,10,1.558043645,11,5,7.5,7.4,6,1.907878403,10,1,5.5,5.9,5,2.42693222,11,6,7,7.75,6,1.757128339,11,1,5,4.90960452,5,2.375193923
0,62.52691193,62.52691193,259,259,271,25.08840417,13.16208614,13.41640759,24.84981918,172.9643346,147.4693504,18.1595441,19.90293422,26,14,13.72792244,25.74873734,15.63172798,15.63172798,9,2,1.69068906,1.136316465,26,14,20,20.1,14,4.036087214,25,12,16.5,17.6,14,4.152107898,24,12,14.5,16.55,14,3.827205247,26,14,17,18.45,14,3.993432108,26,1,13,12.1971831,13,5.805015765
0,60.28427125,60.28427125,278,278,288,19.07150299,18.63241974,17.88854408,19.7048111,466.1366289,428.2712329,18.81384048,19.18907952,20,20,19,19,15.07106781,15.07106781,11,2,1.779307829,1.028079363,21,19,20,19.75,20,0.536190265,20,18,19,18.8,19,0.6,21,18,19,19.15,19,0.653834842,20,19,19,19.4,19,0.489897949,20,1,16,13.37259615,18,5.817589293
0,58.627417,58.627417,233,233,242,21.9930444,14.04499623,14,21.37775803,514.1618052,483.9069463,17.22396046,18.66168643,23,14,22,14,14.65685425,14.65685425,8,2,1.86617781,1.077250214,23,14,19.5,19.2,18,2.501999201,22,13,17,17.2,14,2.908607914,23,13,14.5,16,14,3.098386677,23,14,18,18.1,14,2.913760457,23,1,13,11.71356784,13,5.455011695
0,45.45584412,45.45584412,155,155,162,17.22705639,11.47760864,11.31370831,16.64351654,498.8116417,466.6237509,14.04820734,14.46904457,17,12,17.26345444,11.60660172,11.36396103,11.36396103,8,2,1.767970001,1.059772377,18,12,15,15.15,17,2.031624965,17,11,14,13.8,12,2.014944168,17,10,13,13.8,17,2.4,17,11,14,14.25,12,2.070627924,17,1,11,9.490797546,11,4.575029717
0,34.07106781,34.48528137,68,68,74,14.57955663,6.25777211,6,14.02027512,532.8300787,517.2789768,9.304852983,10.84515772,15,7,15,6,10.65139154,6.384142369,4,2,1.672067179,1.164141793,15,6,12.5,11.6,15,2.939387691,15,6,8,8.95,6,2.854382595,15,2,6,6.45,5,3.122098653,15,6,8.5,9.75,7,3.112474899,15,1,6,5.683333333,6,3.129119507
0,44.14213562,44.14213562,147,147,155,14.80923757,12.80928754,12,15.01719666,504.5256839,476.2752189,13.68087033,14.05087817,16,14,13,14,11.03553391,11.03553391,7,2,1.79248125,1.163316635,16,13,14,14.55,14,0.920597632,16,12,13,13.65,13,1.194780315,16,12,14,13.9,14,1.044030651,16,13,14,14.25,14,0.887411967,16,1,11,9.576547231,12,4.269027588
0,59.69848481,59.69848481,274,274,284,20.97341324,16.76318655,16.4924221,20.63520432,278.6318447,238.8086546,18.6779987,19.00261791,22,17,20.79898834,17.26345444,14.9246212,14.9246212,10,2,1.689041975,1.078333105,22,17,19.5,19.55,18,1.499166435,21,16,18,18.65,18,1.423903087,21,17,18.5,18.8,17,1.568438714,22,17,19,19.2,18,1.503329638,22,1,15,13.55061728,17,5.48853178
0,42.14213562,42.14213562,137,137,145,13.75338355,12.76025006,12,14.14233589,511.120743,485.9883503,13.20733954,13.41425839,15,14,13,13,10.53553391,10.53553391,7,2,1.953445298,1.099157206,15,13,14,13.9,14,0.7,15,12,13,13.3,13,0.714142843,15,12,13,13.3,14,0.842614977,15,13,14,13.8,14,0.509901951,15,1,11,9.17,12,4.240412716
0,32.52081528,32.72792206,82,82,88,10.99106118,9.688099658,8.944272041,11.40195465,260.3577139,240.7234881,10.21790794,10.35169701,12,11,10.21635342,10.7014246,8.13020382,8.13020382,6,2,1.729715809,1.051460627,13,10,11,11.25,11,0.942072184,11,9,10,10.05,10,0.668954408,13,1,10,9.55,10,2.836811591,12,9,11,10.6,11,0.734846923,12,1,8,6.761316872,10,3.442745327
0,66.76955262,66.18376618,286,286,308,22.87257039,17.26096555,14.42220497,23.47763443,390.9426642,347.3630518,19.08262324,21.2534087,24,19,22.92030907,17.97056198,16.69238816,16.69238816,10,2,1.755113746,1.018533807,23,19,22,21.35,23,1.710993863,22,16,20,19.3,20,2.147091055,23,10,19,18,19,4.254409477,24,17,21,20.7,20,2.051828453,24,1,13,12.43383948,1,6.399097026
0,60.69848481,60.52691193,234,234,257,22.7788272,13.46024564,12.64911079,21.65430641,408.7021092,380.1970412,17.26088218,19.32092779,22,14,14.21831799,22.62997627,15.1746212,15.1746212,9,2,1.765067314,1.099859995,23,15,19.5,19.3,21,2.511971337,22,12,16.5,16.9,13,3.462657939,23,9,16,16.5,16,3.598610843,22,13,17.5,17.75,14,3.144439537,22,1,12,11.11163895,12,5.77276614
0,78.18376618,77.35533906,439,439,454,27.03263871,20.82087556,20.88061333,26.92602348,303.0221095,259.5109519,23.64216911,24.88666572,28,22,21,27,19.54594155,19.54594155,12,2,1.884235034,1.084127365,28,21,24.5,24.65,27,2.351063589,28,20,23.5,23.7,21,2.389560629,28,1,23,22.4,22,5.765414122,28,21,24,24.2,22,2.204540769,28,1,19,16.34264432,21,7.56387492
0,106.6690476,105.0121933,717,717,766,34.60272737,27.94110691,26.07680893,36.61702347,291.3152825,223.3689363,30.21444611,33.95381239,37,31,27.48042107,35.24391174,26.66726189,26.66726189,15,2,1.802738769,1.105706104,37,28,34,33.15,31,2.868361902,36,26,30,30.35,28,2.797766967,36,15,29.5,29.35,29,4.682680856,37,27,32,32,35,2.966479395,37,1,23,20.24118477,27,9.90659889
0,46.04163056,46.04163056,160,160,172,14.59714047,13.9852508,14.14213562,14.28375626,345.8062811,317.5069827,14.27299293,14.65550618,15,15,14.86362076,14.41640759,11.51040764,11.51040764,9,2,1.668628166,1.131264586,16,14,15,14.95,15,0.384057287,15,13,14,14.2,14,0.678232998,15,1,14.5,13.8,15,2.993325909,15,14,15,14.7,15,0.458257569,15,1,12,9.987538941,13,4.52199545
0,73.28427125,71.9411255,280,280,322,28.04327847,14.53245635,14,27.20314217,331.9497098,288.5231531,18.88139488,23.32710804,28,15,28.09037971,15.62674427,25.78173305,10.86040258,8,3,1.822629176,1.148081122,28,16,23.5,22.9,28,3.998749805,27,14,17.5,18.6,14,4.509988914,27,1,14,14.15,14,7.247585805,28,14,19.5,20.45,15,4.587755442,28,1,11,11.25352113,7,6.295547329
0,54.87005769,54.87005769,199,199,218,20.70450971,12.61306645,12.64911079,19.90020561,381.9832315,354.1991223,15.917747,17.46568182,20,14,14.11235809,20.4257164,13.71751442,13.71751442,8,2,1.661375658,1.06433593,21,14,17.5,17.75,21,2.426417112,20,12,15,15.7,15,2.666458325,21,10,14,14.5,13,3.090307428,20,13,16,16.4,14,2.416609195,20,1,11,10.50526316,11,5.24780392
0,39.3137085,39.3137085,122,122,126,12.93530088,12.29900271,11.66190338,13.59840775,426.4039019,401.7043514,12.46335526,12.51394208,14,14,12,12,9.828427125,9.828427125,7,2,1.29248125,1.0378717,14,12,13,13.35,13,0.653834842,14,11,12,12.55,12,0.920597632,14,12,13,12.9,13,0.7,14,12,13,13.15,13,0.653834842,14,1,10,8.901459854,12,3.7301002
0,93.35533906,93.35533906,598,598,640,27.88968211,27.8595321,24.73863411,30.69371796,414.3430607,358.0382979,27.59342762,29.71592735,31,30,28,28,23.33883476,23.33883476,14,2,2,1.063544254,32,28,29,29.3,28,1.268857754,31,25,27,27.4,27,1.356465997,31,26,28,28.15,27,1.314343943,31,27,28,28.65,28,0.963068014,31,1,23,19.34789644,26,8.647371064
0,58.52691193,57.69848481,232,232,250,19.09567895,16.53549288,14.14213562,19.6074543,388.0518767,353.9945699,17.18695943,18.62969468,20,18,17.44384384,19.02498245,14.63172798,14.63172798,9,2,1.748074813,1.099660636,20,17,19,18.65,18,0.90967027,20,15,17,17.25,17,1.259960317,20,15,18,17.6,17,1.280624847,20,16,18,18.3,18,1.144552314,20,1,12,11.44226044,17,5.567630456
0,69.63351365,69.84062043,288,288,306,28.06213172,13.17303748,13.41640759,27.65883446,422.4418234,374.2779861,19.14922946,22.16503581,29,14,28.20000076,13.80000114,21.28802259,13.52873423,9,2,1.737181376,1.094914859,29,14,23.5,22.2,28,5.104899607,28,12,17,18.45,13,5.152426613,29,3,14.5,16.7,13,6.79779376,29,13,17.5,19.2,14,5.104899607,29,1,13,12.05230126,13,6.459350277
0,77.35533906,77.35533906,285,285,307,34.53717584,10.61979,10.19803905,32.7568779,462.6559946,426.780556,19.0492328,24.62296917,33,11,33.66187668,10.7698288,28.77231398,9.905355552,7,2,1.716641418,1.1600818,34,10,26,24.25,33,7.562241731,32,10,15,17.35,10,7.518477239,33,1,10.5,13.8,9,7.928429857,33,10,15,17.95,11,7.625450806,33,1,10,10.84440228,10,6.410860239
0,72.42640687,72.42640687,268,268,296,31.39385013,11.27759944,11.31370831,29.56033707,667.4079768,611.0861178,18.47236309,23.05404133,30,12,30.4804821,11.94053459,25.84281693,10.37038651,8,2,1.881181254,1.122525621,31,12,24,22.8,30,6.201612693,30,10,14.5,17.1,11,6.825686779,30,1,13,14.85,11,6.665395712,30,11,16,18.35,13,6.528973886,30,1,10,10.76104418,10,6.219312495
0,18.48528137,18.48528137,29,29,34,6.529723608,5.71853057,6,6.144717693,522.7557547,511.9855128,6.07650778,5.88404781,7,6,6.366562843,6.366562843,4.621320344,4.621320344,4,2,1.403677461,0.367636699,7,6,7,6.55,7,0.497493719,7,5,6,6,6,0.547722558,7,6,6,6.35,6,0.476969601,7,6,6,6.3,6,0.458257569,7,1,5,4.006944444,6,1.959650365
0,31.07106781,31.07106781,81,81,82,11.2810186,9.221603112,10,11.40195465,677.6721679,654.9379854,10.1554125,9.890228059,12,10,10,9,7.767766953,7.767766953,6,2,1.79248125,1.231887502,12,9,11,10.8,10,0.92736185,12,9,10,10,10,0.948683298,12,9,10,10.15,10,0.852936105,12,9,10,10.45,10,0.739932429,12,1,8,7.43438914,9,2.905992126
