"intensity_image","mask_image","ROI_label","GABOR_0","GABOR_1","GABOR_2","GABOR_3","GABOR_4","GABOR_5","GABOR_6"
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",18,1.08475,0.949153,0.847458,1.08475,1.08475,1.08475,1.08475
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",19,0.952381,0.690476,0.456349,0.960317,0.964286,0.940476,0.936508
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",20,1.11111,1.09259,1.07407,1.11111,1.11111,1.09259,1.09259
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",21,0.463659,0.177945,0.117794,0.804511,0.827068,0.807018,0.794486
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",22,0.627778,0.291667,0.275,0.936111,0.947222,0.927778,0.913889
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",23,0.781759,0.332248,0.23127,0.918567,0.928339,0.918567,0.895765
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",24,0.928571,0.513393,0.46875,0.924107,0.928571,0.915179,0.879464
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",25,1.01124,0.977528,0.842697,1.01124,1.01124,1,0.988764
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",26,0.939227,0.524862,0.513812,0.994475,1,0.98895,0.98895
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",27,0.807799,0.264624,0.16156,0.924791,0.933148,0.922006,0.902507
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",28,1.01198,0.730539,0.491018,1,0.994012,0.988024,0.976048
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",29,1.00917,0.963303,0.844037,1.00917,1.00917,1,1
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",30,0.333333,0.261438,0.187364,0.779956,0.814815,0.788671,0.769063
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",31,0.408488,0.416446,0.297082,0.835544,0.859416,0.840849,0.803714
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",32,0.779152,0.190813,0.102473,0.881625,0.899293,0.892226,0.878092
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",33,0.225741,0.0980592,0.0541369,0.822268,0.854954,0.846782,0.840654
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",34,1.00446,0.848214,0.553571,0.959821,0.959821,0.946429,0.924107
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",35,0.756701,0.45567,0.292784,0.748454,0.754639,0.731959,0.723711
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",36,0.868852,0.416393,0.278689,0.84918,0.87541,0.842623,0.829508
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",37,1.00699,0.944056,0.65035,0.993007,0.993007,0.986014,0.979021
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",38,0.205619,0.163474,0.132822,0.885057,0.909323,0.895275,0.886335
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",39,0.929619,0.378299,0.214076,0.870968,0.870968,0.853372,0.832845
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",40,0.27704,0.0777989,0.0929791,0.705882,0.736243,0.726755,0.70778
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",41,0.668016,0.196356,0.159919,0.742915,0.744939,0.732794,0.710526
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",42,0.291902,0.167608,0.248588,0.698682,0.72693,0.711864,0.677966
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",43,1.35484,1.35484,1.35484,1.35484,1.35484,1.35484,1.35484
"p0_y1_r100_c0.ome.tif","p0_y1_r100_c0.ome.tif",44,1.03448,1.02299,0.793103,1.03448,1.03448,1.03448,1.03448
