intensity_filename,mask_filename,label,GaborTextures()[0],GaborTextures()[1],GaborTextures()[2],GaborTextures()[3],GaborTextures()[4],GaborTextures()[5],GaborTextures()[6]
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,31,0.1992238,0.17981889,0.12936611,0.16041397,0.14100906,0.13583441,0.13454075
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,32,0.41720569,0.13971539,0.043337646,0.29107374,0.26778784,0.26649418,0.26843467
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,33,0.46695096,0.17324094,0.10127932,0.36620469,0.36940299,0.36567164,0.36513859
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,34,0.24883256,0.15743829,0.12341561,0.1054036,0.092061374,0.09006004,0.092728486
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,35,0.33333333,0.16015625,0.061848958,0.20117188,0.17643229,0.17382812,0.17317708
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,36,0.28534538,0.053582957,0.020012912,0.12911556,0.11555842,0.11362169,0.11555842
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,37,0.23448726,0.12083605,0.050947093,0.093403005,0.078380144,0.077073808,0.077073808
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,38,0.30950939,0.14294367,0.052089643,0.37129013,0.3555421,0.35069655,0.34827377
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,39,0.31696136,0.089063523,0.023575639,0.15127701,0.13686968,0.1362148,0.13425016
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,40,0.2300995,0.042910448,0.086442786,0.17661692,0.16355721,0.15982587,0.16169154
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,41,0.3586471,0.19144863,0.11359285,0.20421187,0.16656031,0.16081685,0.16400766
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,42,0.35568862,0.23173653,0.15568862,0.16586826,0.15449102,0.1497006,0.15389222
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,43,0.14861111,0.065972222,0.046527778,0.03125,0.021527778,0.019444444,0.01875
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,44,0.23624161,0.062416107,0.032885906,0.065771812,0.053691275,0.053691275,0.053020134
